Interpreta
idObra;idActor;idPersonaje
526;2672;508
526;5867;509
526;6289;510
526;6462;511
526;7115;512
526;7780;513
526;11420;514
526;12577;515
526;12886;111
526;14768;516
526;14790;517
526;14955;518
526;15725;519
526;16545;520
526;14048;521
526;18718;522
526;20230;523
526;20490;524
526;23992;525
526;25557;526
526;25602;527
526;25638;528
526;27841;529
526;28919;530
526;29102;531
526;29448;532
526;30267;533
526;33080;534
526;37890;535
526;38648;536
527;14717;537
527;14717;538
527;14717;539
527;14717;540
527;27496;541
532;6744;7
532;21737;12
533;34791;6
536;31405;542
543;17451;5
544;6560;12
545;15813;9
549;8071;543
549;9056;544
549;10982;545
549;14603;546
549;14660;547
549;15889;548
550;922;11
550;16246;11
550;22444;11
550;30511;11
550;34038;11
552;33382;24
558;23834;9
559;34798;8
560;2800;549
560;2933;550
560;14560;550
560;32683;549
561;20784;463
562;136;9
562;1366;11
562;3798;9
562;6488;18
562;13126;5
562;13907;5
562;21560;5
562;22469;11
562;25689;5
562;29941;11
562;31070;6
562;33021;9
562;37696;11
562;10182;5
568;22750;12
569;77;9
570;25495;551
571;36029;9
571;1205;9
574;1048;5
574;3822;552
574;5667;11
574;6694;552
574;10385;5
574;17142;552
574;21022;11
574;24143;5
574;26766;5
574;32704;5
574;35169;5
574;35873;5
574;37071;5
577;654;5
577;11671;5
577;20632;5
577;29096;9
577;37555;5
577;37236;5
577;9516;5
579;36912;8
580;20587;9
580;22600;6
580;31064;9
582;7019;553
582;22833;554
584;2202;11
584;7242;11
584;13905;5
584;15017;11
584;27600;11
584;35440;11
584;36111;5
585;12444;9
585;26004;6
585;28069;6
586;1946;70
586;2630;555
586;4273;556
586;4322;546
586;4460;557
586;13789;558
586;14043;559
586;17623;560
586;32499;203
586;33708;561
586;34704;562
586;34781;563
586;36542;564
586;38959;565
587;1090;8
587;29053;8
587;31935;8
590;37912;566
591;5010;9
591;12200;6
591;14902;9
591;19709;14
591;20015;9
591;22879;9
591;28779;10
591;29217;14
591;30388;14
591;37298;6
592;5651;567
594;1611;10
594;15785;10
595;22017;5
596;29216;568
602;36081;7
603;5977;10
603;6333;10
603;12509;10
603;25489;10
603;36623;10
606;5010;9
606;28793;14
607;8012;9
608;29498;5
609;29209;6
610;4398;11
610;6843;11
610;7615;5
610;8310;5
610;10349;11
610;11308;5
610;14902;5
610;19045;11
610;28614;5
610;30724;11
610;37237;11
610;38728;5
614;6121;12
614;6130;11
617;5775;5
620;14323;12
620;34627;569
622;15751;102
622;38116;6
624;6408;570
625;17931;24
625;25624;9
629;33346;11
631;11522;9
634;22941;10
635;34791;12
636;5016;571
636;14325;572
636;27901;100
637;5277;11
637;29023;11
637;34705;11
640;1920;6
640;24612;6
640;24731;6
640;26004;6
644;1481;5
644;2318;11
644;8342;11
644;9231;5
644;12235;11
644;14130;5
644;18070;5
644;18857;11
644;19980;5
644;20128;11
644;21299;11
644;22923;11
644;24108;5
644;30469;5
644;32633;11
644;32726;11
644;34160;11
644;36571;5
644;36598;11
644;36599;11
644;36603;5
644;36645;9
644;36851;11
644;38963;5
644;38966;5
650;37552;6
651;29096;9
652;37068;6
659;11308;7
659;20554;24
659;10237;24
660;37068;6
661;6438;5
661;14016;9
662;16186;11
663;30883;6
665;16599;577
667;15415;10
667;16794;10
667;20936;9
667;27238;5
667;29795;10
667;32511;14
667;32521;14
667;33010;10
667;9612;103
667;10023;5
670;22992;6
671;2615;9
671;11753;578
671;11976;9
671;17757;11
671;34812;579
675;21642;8
675;22377;8
676;31730;6
677;2575;8
677;26370;9
678;27449;580
679;6488;5
679;22859;5
679;22859;24
679;25690;5
681;11189;6
685;23423;581
685;28307;5
685;38543;5
687;77;9
687;2050;9
687;33325;9
688;1048;9
688;10627;5
689;21918;582
689;22981;583
689;29196;584
691;28999;503
691;33780;503
691;34736;503
692;3572;503
692;6535;503
692;17930;503
692;28999;503
692;9815;503
693;11808;8
693;12663;7
693;15856;6
694;13114;5
694;18018;5
694;18261;5
694;26241;5
694;29196;9
695;634;10
695;5580;10
695;6900;10
695;7402;10
695;19810;10
695;23469;10
695;32273;10
695;36104;10
696;5010;5
696;7226;5
696;12444;9
699;8012;10
699;8470;10
699;8657;10
699;9264;10
699;16089;10
699;19350;10
699;22923;14
699;27238;10
699;28558;10
699;31119;9
699;30626;10
699;32669;10
699;35129;10
700;25979;585
700;31056;6
700;32244;585
701;4438;10
701;7668;14
701;21882;10
701;27250;11
701;28065;5
701;31906;5
701;34844;6
701;36922;11
702;10349;11
702;9374;9
702;12631;10
702;12870;10
702;14325;6
702;23521;10
702;29569;10
702;31425;10
702;33940;10
702;36104;10
702;37237;6
703;18413;9
704;37298;6
705;1728;14
705;4944;14
705;14902;10
705;19045;11
705;21708;10
705;21754;9
705;25999;10
705;27238;10
705;28614;10
705;37396;10
705;37237;6
705;9938;10
710;6488;9
710;37203;9
712;12663;7
712;12701;7
712;34627;7
712;34798;7
712;35682;6
712;37718;7
712;37201;7
712;39002;7
714;3161;9
714;5423;6
716;261;586
716;441;587
716;754;588
716;1490;589
716;1768;590
716;1779;591
716;1853;592
716;1946;593
716;2123;171
716;2338;556
716;3383;594
716;3584;595
716;3875;596
716;3881;597
716;5891;598
716;8922;599
716;10893;600
716;11567;601
716;11711;602
716;12629;603
716;13895;604
716;13988;605
716;14078;606
716;14712;607
716;15391;608
716;15418;609
716;15776;610
716;16649;611
716;16659;612
716;17209;613
716;17910;614
716;18088;183
716;18162;615
716;18345;616
716;18356;617
716;19688;618
716;19710;619
716;19730;620
716;20366;621
716;21290;622
716;21821;198
716;22027;574
716;22138;183
716;22710;623
716;23073;624
716;23487;625
716;24147;626
716;26179;627
716;26227;628
716;26694;629
716;26730;630
716;28296;603
716;30172;564
716;31232;631
716;31952;632
716;34808;633
716;36535;574
716;36600;634
716;36677;635
716;36694;636
716;36724;637
716;37335;638
716;37422;639
716;37205;640
716;38737;641
716;38965;642
718;3164;11
718;11550;11
718;17210;11
718;24630;11
718;37718;7
720;6044;643
720;6242;643
720;12980;643
720;18457;643
720;26338;643
720;33693;643
720;37899;644
721;4541;645
721;11778;646
721;11820;647
721;13374;648
721;19672;649
721;21097;650
721;21625;651
721;23131;652
721;27267;653
721;29216;654
721;37438;655
722;271;9
722;11308;5
722;19499;11
722;21754;5
722;27739;5
722;28069;11
722;37305;6
724;21754;9
725;1998;6
725;2870;6
725;8575;9
725;20342;6
725;30348;6
727;31624;481
728;10368;6
728;11976;9
728;14595;5
728;28434;5
728;29284;11
730;14969;665
732;25806;12
733;37203;9
735;14943;12
735;36329;100
735;35493;7
738;10573;5
738;15856;6
739;31270;6
741;2119;666
741;12908;667
743;29506;22
747;19334;5
751;10926;5
751;25274;5
751;29589;6
755;33750;12
756;33369;10
757;207;6
757;26669;9
760;11808;8
760;15856;6
760;22320;7
764;25468;8
764;32829;7
767;13872;6
767;15796;9
771;11808;8
771;23318;7
773;8178;584
773;17363;503
773;18251;669
773;35436;670
777;1700;671
777;3559;672
777;5077;673
777;5845;674
777;7821;675
777;10489;676
777;10521;677
777;12254;678
777;16089;679
777;16862;680
777;18915;681
777;20326;682
777;22247;683
777;24120;684
777;26192;685
777;30203;686
777;30378;687
780;2542;688
780;2871;689
780;4123;690
780;4657;691
780;4961;692
780;7059;693
780;9358;694
780;11396;695
780;14927;696
780;14985;697
780;15257;698
780;15342;699
780;17440;700
780;17530;701
780;17694;702
780;16809;703
780;18335;704
780;18521;705
780;18815;706
780;18990;707
780;19060;708
780;19100;709
780;19128;710
780;19132;711
780;19151;711
780;19178;712
780;19204;713
780;19253;714
780;19280;715
780;19468;716
780;19472;717
780;21006;718
780;21965;719
780;22232;720
780;22959;721
780;23342;722
780;23364;723
780;23718;724
780;23795;725
780;25729;452
780;26006;726
780;26539;727
780;27625;728
780;28241;729
780;28834;730
780;28858;354
780;29063;731
780;29225;732
780;29228;733
780;32175;734
780;30572;735
780;33650;736
780;33758;737
780;34992;738
780;35200;739
780;35294;740
780;36744;741
780;36748;742
780;38132;743
780;38196;744
780;38414;745
780;38839;746
780;38907;747
781;42;748
781;4528;749
781;4602;750
781;4898;751
781;6992;752
781;12263;753
781;19029;754
781;21342;755
781;23106;756
781;23261;757
781;25480;758
781;26110;759
781;26260;760
781;34866;761
781;38650;762
784;5413;6
784;31270;6
785;30382;763
789;27639;6
789;38555;9
790;14299;7
792;2202;6
792;22600;11
792;23373;9
792;31064;5
792;35871;6
792;37164;5
792;9652;5
793;18367;7
793;26863;6
793;34028;6
793;37225;6
795;5274;764
795;7045;765
795;14802;766
796;13792;9
799;1705;628
799;3881;767
799;12629;768
799;13782;769
799;13793;619
799;18113;770
799;34808;771
800;7878;9
804;32416;8
805;25624;9
805;31948;9
806;25472;772
808;38000;7
809;87;11
809;1752;5
809;4923;5
809;6376;5
809;15796;5
809;15876;773
809;16462;5
809;17931;774
809;20057;11
