Serie
idSerie;fechasEmision
1601;1993-????
1602;1984-????
1603;1986-????
1604;1990-????
1605;1981-1982
1606;1999-????
1607;1982-1983
1608;1995-????
1609;1994-1995
1610;1991-1992
1611;1998-????
1612;1992-????
1613;1999-????
1614;1996-????
1615;1988-????
1616;1987-????
1617;1998-????
1618;1996-????
1619;1984-????
1620;1994-????
1621;1994-????
1622;1990-????
1623;1990-1992
1624;1990-1992
1625;1987-????
1626;1987-????
1627;1982-????
1628;1990-1991
1629;1996-????
1630;1990-????
1631;1991-1993
1632;1987-????
1633;1992-????
1634;1991-1993
1635;1999-????
1636;1995-????
1637;1988-????
1638;1978-1988
1639;1977-1978
1640;1992-1993
1641;1992-1993
1642;1975-1976
1643;1981-1982
1644;1993-????
1645;1985-1987
1646;1993-????
1647;1977-1984
1648;1994-????
1649;1996-1997
1650;1999-2000
1651;1990-1998
1652;1982-????
1653;1989-2000
1654;1993-1994
1655;1994-????
1656;1999-????
1657;1987-????
1658;1998-2000
1659;1982-????
1660;1992-????
1661;1994-????
1662;1992-????
1663;1990-1991
1664;1983-1985
1665;1997-1998
1666;1989-????
1667;1985-1986
1668;1977-1978
1669;1984-????
1670;1996-????
1671;1999-????
1672;1995-????
1673;1997-????
1674;1989-1990
1675;1998-????
1676;1993-????
1677;1993-????
1678;1995-1996
1679;1994-????
1680;1994-????
1681;1992-1994
1682;1998-????
1683;1995-2005
1684;1999-2000
1685;1995-1998
1686;1987-????
1687;1999-????
1688;1995-1996
1689;1995-????
1690;1994-????
1691;1994-1995
1692;1993-1994
1693;1994-1995
1694;1995-????
1695;1997-????
1696;1999-????
1697;1999-????
1698;1976-1977
1699;1993-2000
1700;1985-1986
1701;1993-1994
1702;1981-1987
1703;1994-????
1704;1998-????
1705;1993-1994
1706;1999-????
1707;1984-1988
1708;1996-????
1709;1994-????
1710;1994-????
1711;1996-????
1712;1996-1997
1713;1994-????
1714;1983-1984
1715;1977-????
1716;1989-????
