Personaje
idPersonaje;descripcion
746;Prisoner
747;Pietro Nenni
748;Orso, the desertor
749;Yasmine
750;Parizade
751;El Halem
752;De Brosse
753;Khalif of Timbuktu
754;Sholomon
755;Anthea
756;Myriam
757;Philip
758;Kerim
759;Tamamet
760;Hared, the blind man
761;Lieutenant Ryker
762;Desmond Jordan
763;Herself - Redactora
764;Isabel
765;Vicente
766;Paco
767;Oskar
768;Euken
769;Garbi
770;Blanca
771;Lehendakari Joxean Arizkorreta
772;Man in the bar
773;Ramona
774;Pepelu
775;Rambo
776;Herself - Azafata
777;Himself - Newsreader
778;Herself - Weather Forecaster
779;Himself - Weather Forecaster
780;Himself - Sports Newsreader
781;Nini Sposito
782;Gaerano Bonanno
783;Cunningham
784;Nennella, la figlia di Don Peppe
785;Lispettore Greco
786;Don Peppe Carità
787;Immacolata
788;Don Vito Scalea
789;Michele
790;Toni Carità, il figlio di Don Peppe
791;Conchita Carità, la moglie di Toni
792;Hiwaga Sekim
793;Princess Sheila
794;Queen Idún
795;Muzak
796;Rahman
797;Hanstor
798;Prince Zalk
799;Zohak
800;Captain Argio
801;King Brigal
802;Fuliñaqui
803;Regidor
804;Metge
805;Sergi
806;Ramonet
807;Mercader
808;Linda
809;Fermina
810;Jefe Capucheto
811;Don Redondón
812;Klaus
813;Bruna
814;Carbonilla
815;Rocky Vaporetto
816;Pintor
817;Juan Sebastián Plaff
818;Ambrosio
819;Carlota
820;Alcanfor
821;Leocricia
822;Patuchas
823;Melisa
824;Mariano
825;Cartero
826;Profesor Lupilla
827;Juglar
828;Bermúdez, el eterno parado
829;Teresa Roques
830;Estefania
831;Marcelo
832;Colaboracion especial
833;Giovanni Canevari
834;Woman in Prison
835;Czech Prosecutor Tsinik
836;Sargeant Giugni
837;Milans Chief Prosecutor
838;Marco Brenno
839;Antonio Espinosa
840;NOI Agent Braccio
841;Martina Ferrari
842;NOIs General Alessio Amadei
843;Irene Espinosa
844;Lorenzo Ribeira
845;Nina -
846;Judge Silvia Conti
847;Ettore Salimbeni
848;Tano Cariddi
849;Mrs. Canevari
850;Professor Guido De Rossi
851;Giuseppe Carta
852;Kiriu, the Banker
853;Stefan Litvak
854;Czech Agent Milos Danick
855;NOI Agent Fede
856;Bellini the Photographer
857;Davide Licata
858;Tardi
859;Silvia Conti
860;Amilcare Brenno
861;Padre Matteo
862;Stinco, Brennos Henchman
863;Brennos Second Henchman
864;Czech Prosecutor Pisznieck
865;Santino Rocchi
866;Kerttesz
867;Otto Warfel
868;Maria Cariddi
869;Herself - Bailarina
870;Rigodon
871;Romy
872;Saliban
873;Willy Fog
874;Inspector Disc
875;Tico
876;Asst. Pooley
877;Rygdon
878;Sullivan
879;Moderador
880;Joplin
881;Sánchez
882;Langostino
883;Hada Rebeca
884;Himself - Tertuliano
885;Dan
886;Lichtenberg
887;Lady Olgivie
888;Mr.Colby
889;La vieille Allemande
890;Annie
891;Queen Elizabeth II
892;Lopez Tapia, Fabian
893;William Garrett
894;Han
895;Suzan Frend
896;Col. Miller
897;Jeanne Corbet
898;Mary
899;Leroy-Champier
900;Prof.Hamblain
901;Indira Gandhi
902;Shri Bahanba
903;Galdos
904;Poliot
905;Kaufman
906;Mrs. Barnajee
907;Monsieur Corbet
908;Samuel Frend
909;Madame Fournier
910;Roland Fournier
911;Loggins
912;Faux infirmier
913;Kim
914;Peter van Buscirk
915;Worsel
916;Clarisse
917;Germà Jové
918;Mamen
919;Consol Cirera
920;Meritxell Badia
921;Mapi
922;Antoine
923;Jean-Pierre
924;Le curé
925;Hector
926;Antoine Bouychou
927;Denef
928;Belkacem
929;Hassane
930;Le père Paris
931;Marie
932;Le gendarme
933;Général Griès
934;Raïssa
935;Le colonel Grass
936;Le garde-champêtre
937;Mme Ginetti
938;Xavier-Marie de Roailles
939;Angèle
940;Hassane Ben Ameur
941;Marie Aldabran
942;Hector Griès
943;Victor
944;Général Berthezene
945;Amélie
946;Hortense
947;Elise
948;Hayek
949;Perceval
950;Général Desprez
951;Maftah
952;Le consul
953;Général de Roailles
954;Lieutenant
955;Kossaïri
956;Louis de Bourmont
957;Sergent Hugon
958;Général de Bourmont
959;La mère Paris
960;Alfred Koenig
961;Mlle Froidure
962;Marie Carnetto
963;Passebois
964;Mathilde
965;Daniel
966;Le capitaine Malassis
967;Désiré
968;MHammed
969;Le colonel
970;Henri Dematons
971;Le Dey DAlger
972;Amédée de Bourmont
973;Marguerite enfant
974;La générale de Roailles
975;Oleguer
976;Mercè
977;Núria
978;Eulàlia
979;Oriol
980;Cugat
981;Tartuf
982;La Francina
983;Elmira
984;Anna
985;Leonato
986;Margarida
987;D. Joan
988;Laudi
989;Hero
990;Benedicte
991;Úrsula
992;Beatriu
993;D. Pere
994;Herodias
995;Ballarí
996;Capadoci
997;Salomé
998;Iokanaan
999;Herodes
1000;Silvia Ocampo
1001;Antoni
1002;Marisol
1003;Felipa
1004;Herself - Jury Member
1005;Himself - Jury Member
1006;Virginia Buika playes cantante corista
1007;Arteria
1008;Miocardio
1009;Yuca
1010;Maestro Jonc
1011;Poti-Poti
1012;Gallofa
1013;Gran Druixot
1014;Tejo
1015;Chiprell
1016;Estroles
1017;Rey Grog
1018;Rom
1019;Pedro
1020;Iris
1021;Bruja Avería
1022;Maese Sonoro
1023;Bruja Truca
1024;Maese Cámara
1025;Hada Video Tape Recording Hada Video
1026;Tía Emerinda
1027;Zapo
1028;Don Bruno
1029;Pandora
1030;Roly
1031;Pak
1032;Kumba
1033;Pincho
1034;Mochilo
