Obra
idObra;titulo;fechaProduccion
495;El mundo de Juan Lobón;1989
496;El mundo de la música;1976
497;El mundo de la televisión;1975
498;El mundo es nuestro;1986
499;El món dAriadna;1997
500;El nuevo espectador;1989
501;El obispo leproso;1990
502;El olivar de Atocha;1988
503;El orgullo del tercer mundo;1995
504;El otro arbol de Guernica;1977
505;El peor programa de la semana;1993
506;El perro verde;1988
507;El precio justo;1988
508;El primer café;1996
509;El primijuego;1989
510;El programa de Ana;1994
511;El programa de Carlos Herrera;1996
512;El programa de Hermida;1991
513;El puente;1997
514;El pèndol;1997
515;El Quijote de Miguel de Cervantes;1991
516;El quinto jinete;1975
517;El rastrillo;1995
518;El recreo;1977
519;El regreso de una leyenda;1995
520;El rescate del talismán;1991
521;El retonno;1994
522;El retorno de DArtacan;1990
523;El rondo;1999
524;El ruedo;1989
525;El salero;1990
526;El secreto de la porcelana;1999
527;El semáforo;1995
528;El sexólogo;1994
529;El señor Villanueva y su gente;1979
530;El señorío de Larrea;1999
531;El show de la Diana;1997
532;El show de la una;1992
533;El supergordo;1993
534;El supertren;1991
535;El séptimo cielo;1989
536;El séptimo de caballería;1998
537;El súper;1996
538;El tercer grado;1997
539;El tiempo en que vivimos;1989
540;El tiempo es oro;1987
541;El tiempo pasa, corazón;1999
542;El Tigre de Siberia;1999
543;El trampolín;1994
544;El tren;1982
545;El turista habitual;1993
546;El viatge;1987
547;El xou de la família Pera;1983
548;El ángel caído;1991
549;El último verano;1999
550;Eldíaquemeentiendas;1996
551;Ellas son así;1999
552;Els Grau;1991
553;Empléate a fondo;1996
554;En antena;1997
555;En buena hora;1990
556;En buenas manos;1994
557;En casa con Raffaella;1995
558;En clave actual;1999
559;En color;1982
560;En directe, Mari Pau;1998
561;En directo contigo;1995
562;En el candelabro;1999
563;En escena: 100 anys de teatre català;1985
564;En este país;1981
565;En exclusiva;1997
566;En familia;1987
567;En la cuerda floja;1985
568;En la naturaleza;1987
569;En los límites de la realidad;1993
570;En marcha;1985
571;En otras palabras;1997
572;En paralelo;1982
573;En plena forma;1997
574;En xogo;1996
575;Encantada de la vida;1993
576;Encantados de conocerte;1992
577;Encontros;1986
578;Encuentros con las letras;1976
579;Encuentros en libertad;1982
580;Enfoques;1988
581;Enric, parada i fonda;1985
582;Enrédate;1999
583;Enróllate;1995
584;Entre a terra e a lúa;1999
585;Entre amigos;1985
586;Entre dos fuegos;1998
587;Entre líneas;1988
588;Entre línies;1998
589;Entre Morancos y Omaitas;1997
590;Entre naranjos;1998
591;Entre nós;1986
592;Entre platos anda el juego;1991
593;Entre tú y yo;1997
594;Entrevista con...;1995
595;Epílogo;1998
596;Esa clase de gente;1990
597;Escala internacional;1978
598;Escalera interior, escalera exterior;1986
599;Escenari;1978
600;Escrito en América;1979
601;Escrito para TV;1984
602;Escuela de salud;1975
603;Escuela del deporte;1999
604;Eskualdeak;1987
605;Esos locos bajitos;1998
606;Espacio aberto;1988
607;España... y a por todas;1994
608;Españoles en el Pacífico;1980
609;Españoles;1983
610;Especial fin de ano 1997;1997
611;Espejo público;1996
612;Espejo secreto;1997
613;Esta es mi tierra;1983
614;Esta es su casa;1990
615;Esta noche cruzamos el Mississippi;1995
616;Esta noche Pedro;1986
617;Esta noche;1981
618;Esta noche, fiesta;1976
619;Esta noche, sexo;1995
620;Esta semana;1982
621;Estació denllaç;1994
622;Estadio 2;1984
623;Estamos de vuelta;1995
624;Estamos en directo;1999
625;Estamos todos locos;1994
626;Este no es el programa de los viernes;1998
627;Este país necesita un repaso;1993
628;Este señor de negro;1975
629;Estimada Mary;1992
630;Esto es espectáculo;1994
631;Esto es lo que hay;1985
632;Esto es lo que hay;1995
633;Esto me suena;1999
634;Esto no es lo que parece;1994
635;Esto se anima;1993
636;Esto é noticia;1995
637;Estoc de pop;1984
638;Estress;1991
639;Estudi 8;1992
640;Etcétera;1977
641;Etcétera;1990
642;Eurocops;1988
643;Europa, Europa;1987
644;Eurovisión Siglo XX;1998
645;Eva a las diez;1977
646;Eva y Adán, agencia matrimonial;1990
647;Evocación;1982
648;Exterior día;1981
649;Extra Rosa;1997
650;Extra;1996
651;Extramuros;1988
652;Facer memoria;1998
653;Famosos y familia;1999
654;Fanatico;1992
655;Fantaghiró;1999
656;Fantàstic;1992
657;Fantástico;1978
658;Farmacia de guardia;1991
659;Fatal, fatal, fatal;1991
660;Fe de vida;1992
661;Feitos;1994
662;Fem 40 anys;1999
663;Fem tele;1998
664;Fernández y familia;1998
665;Fes flash!!!;1984
666;Festa amb Rosa Maria Sardà;1979
667;Festa;1997
668;Fetiche;1996
669;Fiebre del domingo noche;1999
670;Fila 7;1983
671;Filiprim;1986
672;Fin de siglo;1985
673;Flamingo Berria;1993
674;Flash, el juego de las noticias;1999
675;Flipping con el zapping;1991
676;FM 2;1988
677;Follow Through;1986
678;Fortunata y Jacinta;1980
679;Força Barça;1994
680;Fragmentos de interior;1984
681;Frontera límite;1994
682;Fuerzas ocultas;1995
683;Función de noche;1995
684;Función de tarde;1994
685;Funtzioa;1989
686;Furor;1998
687;Futbolísimo;1991
688;Fóra de xogo;1994
689;Fútbol en acción;1981
690;Fútbol es fútbol;1994
691;Fútbol Primera División 1997/1998;1997
692;Fútbol Primera División;1996
693;Gaceta cultural;1979
694;Gala del deporte;1996
695;Galegos;1985
696;Galeguidade;1995
697;Galeria de personatges;1991
698;Galeria oberta;1985
699;Galicia de noite;1986
700;Galicia directo;1998
701;Galicia en pé de festa;1991
702;Galicia enteira;1993
703;Galicia máxica;1985
704;Galicia no tempo;1991
705;Galicia terra única;1997
706;Gatos en el tejado;1988
707;Generació D;1997
708;Generación 800;1985
709;Genio y figura;1994
710;Gente con chispa;1999
711;Gente de primera;1993
712;Gente hoy;1976
713;Gente;1995
714;Gimnasia infantil;1995
715;Glasnost;1989
716;Goenkale;1994
717;Gol Nord;1997
718;Gol... y al mundial 82;1981
719;Goles son amores;1992
720;Gomaespuma;1994
721;Goya;1985
722;Gracias pola galega;1992
723;Gracias por todo;1997
724;Gran casino;1989
725;Gran fiesta;1994
726;Gran teatre;1980
727;Grand Prix;1995
728;Grand Slam;1994
729;Griot;1992
730;Habitación 503;1993
731;Hablando claro;1987
732;Hablando con Gemma;1996
733;Hablando se entiende la basca;1991
734;Hablando se entiende la gente;1990
735;Hablemos claro;1999
736;Hablemos de amor;1984
737;Hablemos de sexo;1990
738;Hablemos;1977
739;Hai que ver;1996
740;Hale Bopp;1997
741;Happy House;1999
742;Hasta luego cocodrilo;1991
743;Heart of the Dragon;1985
744;Hermanas;1998
745;Hermanos de leche;1994
746;Hermida y Cía;1993
747;Hip, hip, hipnosis;1994
748;Historias cortas;1990
749;Historias de Infoville;1999
750;Historias de la puta mili;1994
751;Historias de la vida;1995
752;Historias del otro lado;1988
753;Històries de cara i creu;1986
754;Històries obertes;1978
755;Hola chicos;1984
756;Hola, hola, hola;1997
757;Hola, ola;1996
758;Homenaje a Lorca;1985
759;Homenots;1999
760;Hora 15;1977
761;Hora límite;1995
762;Hora punta;1999
763;Horas doradas;1980
764;Horizontes;1977
765;Hospital;1996
766;Hostal Royal Manzanares;1996
767;Hoy de 6 a 7;1990
768;Hoy de mañana;1998
769;Hoy en casa;1998
770;Hoy es posible;1997
771;Hoy por hoy;1976
772;Hoy por tí;1996
773;Humor amarillo;1990
774;Humor cinco estrellas;1991
775;Hyakutake;1998
776;I ara què, Xènia?;1993
777;I misteri della giungla nera;1991
778;Identitats - Rastres;1985
779;Identitats;1984
780;Il giovane Mussolini;1993
781;Il segreto del Sahara;1988
782;Im presionante;1998
783;Imos aló?;1989
784;Imos ver;1986
785;Impacto TV;1997
786;Imágenes perdidas;1991
787;Imágenes prohibidas;1994
788;Imágenes;1978
789;In fraganti;1999
790;Informativo juvenil;1980
791;Informativos Telecinco;1990
792;Informes TVG;1991
793;Inocente, inocente;1992
794;Instinto del asesino;1995
795;Isabel;1996
796;Iñaki los jueves;1990
797;J.M. presenta;1990
798;Ja hi som!;1997
799;Jaun ta jabe;1997
800;Jazz entre amigos;1984
801;Jocs de nit;1992
802;Judes Xanguet i les Maniquins;1988
803;Juega con nosotros;1991
804;Juego de niños;1988
805;Juguemos al trivial;1992
806;Juncal;1989
807;Juntas pero no revueltas;1995
808;Juvenil cultural;1982
809;Karaoke especial estrellas Telecinco;1995
810;Karaoke;1994
811;Ketty no para;1997
812;Kiu i els seus amics;1985
813;Klaatu barada niktó;1996
814;Lart de viure;1993
815;Lavi Bernat;1989
816;Lencyclopédie audio-visuelle;1992
817;Lentrevista;1996
818;Lenvelat;1997
819;Lhora de Mari Pau Huguet;1995
820;Lilla del tresor;1996
821;Linformatiu cap de setmana;1987
822;Linformatiu migdia;1982
823;Linformatiu migdia;1987
824;Linformatiu vespre;1987
825;Lombra nera del Vesuvio;1987
826;Lou o la gallina?;1996
827;La 2 en el teatro;1997
828;La 2 noticias;1994
829;La aventura del saber;1992
830;La aventura humana;1985
831;La banda de Pérez;1997
832;La barberia;1990
833;La barraca;1979
834;La batalla de las estrellas;1993
835;La bola de cristal;1984
836;La bolsa y la vida;1981
837;La botica de la abuela;1997
838;La bruixa avorrida;1998
839;La cara divertida;1997
840;La casa de la guasa;1993
841;La casa de los líos;1996
842;La casa por la ventana;1989
843;La Celestina;1983
844;La cesta de la compra;1986
845;La chistera;1993
846;La claror daurada;1989
847;La clave;1976
848;La clave;1990
849;La cocina de Arguiñano;1995
850;La comedia dramática española;1986
851;La comedia musical española;1985
852;La comedia;1983
853;La cometa blanca;1981
854;La corona mágica;1989
855;La cosa nostra;1999
856;La Cucafera;1981
857;La cueva de los cerrojos;1984
858;La cuina den Miquel;1995
859;La edad de oro;1983
860;La España de los Botejara;1978
861;La España salvaje;1996
862;La estación de Perpignán;1987
863;La forja de un rebelde;1990
864;La Gala 98;1998
865;La gran ilusión;1999
866;La granja;1989
867;La guagua;1975
868;La guardería;1990
869;La hora de Pau;1997
870;La hora de...;1975
871;La hora del lector;1987
872;La hora del TPT;1988
873;La hora H;1996
874;La llamada de la suerte;1998
875;La llamada de los gnomos;1987
876;La Lloll;1993
877;La lluna;1989
878;La loba herida;1992
879;La locomotora;1979
880;La luna;1989
881;La mandrágora;1997
882;La mansión de los Plaff;1979
883;La memoria fértil;1986
884;La memòria dels Cargols;1999
885;La merienda;1990
886;La mirada crítica;1997
887;La máquina de la verdad;1993
888;La máscara negra;1982
889;La nit bruixa;1989
890;La nit del Maremàgnum;1996
891;La noche abierta;1997
892;La noche de Carmen;1998
893;La noche de los castillos;1995
894;La noche de...;1997
895;La noche del cine español;1984
896;La noche por delante;1998
897;La noche prohibida;1996
898;La noche se mueve;1992
899;La noche temática;1995
900;La Noche Tuerta;1999
901;La noche;1989
902;La odisea;1976
903;La orquesta;1984
904;La otra familia;1996
905;La palmera;1988
906;La parada;1989
907;La parodia nacional;1996
908;La picota del mundo;1990
909;La piovra 6 - Lultimo segreto;1992
910;La piraña;1999
911;La plaça de la lluna;1987
912;La porteria;1996
913;La primera respuesta;1993
914;La puerta del misterio;1982
915;La quinta marcha;1990
916;La realidad inventada;1988
917;La regenta;1995
918;La revista de lespectacle;1993
919;La revista;1996
920;La ronda;1991
921;La ruleta de la fortuna junior;1998
922;La ruleta de la fortuna;1990
923;La saga de los Clark;1997
924;La saga de los Rius;1976
925;La salud es lo que importa;1990
926;La segunda oportunidad;1978
927;La semana que viene;1998
928;La senda;1994
929;La señora García se confiesa;1976
930;La sonrisa del pelícano;1997
931;La tarda és nostra;1994
932;La tarde;1983
933;La tarántula;1990
934;La tele es tuya, colega;1994
935;La terra i la cendra;1984
936;La tertulia;1990
937;La transición;1995
938;La trituradora;1999
939;La verdad de...;1979
940;La vida en el aire;1997
941;La vida en un xip;1989
942;La vida es juego;1992
943;La vida según...;1995
944;La vida sigue;1988
945;La virtud del asesino;1997
946;La voz humana;1986
947;La vuelta al mando;1999
948;La vuelta al mundo de Willy Fog;1981
949;La víspera de nuestro tiempo;1981
950;Laberint dombres;1998
951;Labranza;1991
952;Langostino;1987
953;Lapices de colores;1987
954;Lareira;1986
955;Las auténticas aventuras del profesor Thompson;1992
956;Las aventuras de Pepe Carvalho;1986
957;Las aventuras del Hada Rebeca;1976
958;Las buenas noticias;1978
959;Las chicas de hoy en día;1991
960;Las claves;1999
961;Las coplas;1989
962;Las cortes de España;1983
963;Las doce en punta;1989
964;Las lecciones de cocina de Pedro Subijana;1995
965;Las mañanas de Rosa;1999
966;Las mañanas de Tele 5;1993
967;Las mil y una... Américas;1991
968;Las noches de tal y tal;1991
969;Las pícaras;1983
970;Las reglas del juego;1977
971;Las tardes de Alicia;1998
972;Las viudas;1977
973;Laura;1998
974;Le grand secret;1989
975;Lecciones de tocador;1983
976;Lengua viva;1977
977;Lensman: Kozûmosu no daisensô;1987
978;Leo contra todos;1983
979;Les 1000 i una;1997
980;Les chevaux du soleil;1980
981;Les claus de vidre;1986
982;Les guillermines del rei Salomó;1981
983;Les nits de la tieta Rosa;1980
984;Les notícies amb Josep Cuní;1991
985;Les tres bessones;1995
986;Letra pequeña;1984
987;Leña al mono que es de goma;1993
988;Libre y directo;1994
989;Lingo;1993
990;Llave en mano;1991
991;Lleno, por favor;1993
992;Lletres catalanes;1975
993;Llibre dels fets del bon rei en Jaume;1978
994;Lluna de mel;1993
995;Lluvia de estrellas;1995
996;Llévatelo calentito;1995
997;Lo + plus;1995
998;Lo que en tiempos se llevó;1995
999;Lo que hay que tener;1995
1000;Lo que hay que ver;1997
1001;Lo que necesitas es amor;1993
1002;Lo que yo te cante;1994
1003;Lo tuyo es puro teatro;1998
1004;Locos de atar;1998
1005;Locos por la tele;1990
1006;Locuras de verano;1997
1007;Lola Corazón;1997
1008;Lorca, muerte de un poeta;1987
1009;Los 40 principales;1990
1010;Los aurones;1986
1011;Los años vividos;1992
1012;Los cinco sentidos;1993
1013;Los comunes;1999
1014;Los desastres de la guerra;1983
1015;Los desayunos de TVE;1994
1016;Los domingos por Norma;1992
1017;Los electroduendes;1986
1018;Los episodios;1979
1019;Los espectáculos;1978
1020;Los felices 80;1990
1021;Los Fruittis;1990
1022;Los gozos y las sombras;1981
1023;Los hijos del frío;1991
1024;Los jinetes del alba;1990
1025;Los ladrones van a la oficina;1993
1026;Los libros;1998
1027;Los marginados;1982
1028;Los mitos;1979
1029;Los mundos de Yupi;1988
1030;Los muñegotes;1990
1031;Los negocios de mamá;1997
1032;Los niños no sois tan niños;1976
1033;Los pazos de Ulloa;1985
1034;Los primeros;1994
1035;Los sabios;1983
1036;Los segundos cuentan;1990
1037;Los tres de Antena 3;1991
1038;Los trotamúsicos;1989
